pid,nom_prod,prix,quantite_disp,,disponibilite,marque,poids,couleur,garantie
1,PC Portable Asus S515DA-BQ3563T,1836,6,2021-10-13,Bientôt Disponible,asus,3,bleu,false
 2,PC Portable Gaming Dell G3,454,51,,Disponible,dell,3,noir,false
 3,PC Portable Gaming Dell G5,2376,98,2021-10-22,Non Disponible,dell,1,orange,false
 4,PC portable Msi Modern A10M-635FR,813,149,,Disponible,msi,3,orange,false
 5,PC Portable Huawei MateBook D15,594,0,,Disponible,huawei,3,bleu,false
 6,PC Portable Gaming MSI GE66 Raider,525,13,,Disponible,msi,5,orange,false
 7,PC Portable Huawei MateBook D16,855,168,,Disponible,huawei,2,bleu,true
 8,Apple MacBook Air,2957,37,,Disponible,apple,3,blanc,true
 9,PC Portable Huawei MateBook D19,621,157,2021-06-22,Non Disponible,huawei,4,bleu,true
 10,PC Ultra-Portable Lenovo Yoga SLim7 14ARE05,1970,105,,Disponible,lenovo,3,rouge,false
 11,PC Portable Toshiba Satellite C55-C-125,1244,200,,Disponible,toshiba,4,rouge,false
 12,PC Portable Lenovo IdeaPad 3 15ADA05,757,200,,Disponible,lenovo,2,noir,false
 13,PC Portable Huawei MateBook X15,876,0,,Disponible,huawei,4,bleu,false
 14,PC Portable Lenovo Legion 5 15ACH6H,479,57,,Disponible,lenovo,5,orange,false
 15,PC Ultra-Portable Asus S413JA-EB517T,626,134,,Disponible,asus,1,bleu,true
 16,PC Portable Dynabook Toshiba A30-E-15V,2386,169,,Disponible,toshiba,2,or,false
 17,PC Portable HP Pavilion 15-eg0067nf,307,84,,Disponible,hp,1,noir,false
 18,PC Ultra-Portable HP Spectre,1307,12,,Disponible,hp,3,noir,true
 19,PC Portable Huawei XHD77,2423,0,,Disponible,huawei,2,bleu,true
 20,Apple MacBook Pro,1801,72,,Disponible,apple,5,rouge,true
 21,PC Portable Lenovo IdeaPad 15ADA05,1577,128,,Disponible,lenovo,1,or,true
 22,PC Ultra-Portable Acer Aspire 1 A114-32-C0QW,1659,116,,Disponible,acer,4,blanc,false
 23,Chromebook Asus C433TA-AJ0035,1042,0,,Disponible,asus,1,blanc,false
 24,Apple MacBook Pro,2669,25,,Disponible,apple,1,blanc,false
 25,PC Portable Acer Chromebook Spin,1924,29,,Disponible,acer,3,rose,true
 26,PC Portable Asus S515DA-BQ34199T,423,21,2021-06-09,Bientôt Disponible,asus,3,orange,true
 27,PC Portable Dell Inspiron,1408,35,,Disponible,dell,1,or,false
 28,PC Portable Acer Aspire 3 A317-33-P3DV,2912,111,,Disponible,acer,5,or,false
 29,PC Gaming HP Omen GT11-0480nf,1981,10,,Disponible,hp,1,orange,true
 30,Apple MacBook Air,2669,36,,Disponible,apple,2,orange,true
 31,Apple MacBook Pro Touch Bar,1578,194,,Disponible,apple,1,bleu,true
 32,PC Gaming MSI MAG Codex,300,86,,Disponible,msi,4,noir,false
 33,Apple MacBook Pro Touch Bar,1264,148,,Disponible,apple,4,orange,true
 34,PC Portable Dell Inspiron 4404,2095,12,,Disponible,dell,1,noir,true
 35,PC Portable Gaming MSI GF75,1877,2,,Disponible,msi,4,rose,true
 36,Toshiba PS461E-0N809HFR Ultrabook,2511,68,,Disponible,toshiba,1,orange,true
 37,PC Ultra-Portable Lenovo Yoga 7 14ITL5,1640,200,,Disponible,lenovo,2,blanc,true
 38,PC Gaming Lenovo Legion T5,1876,157,,Disponible,lenovo,2,blanc,false
 39,MSI GE76 10UH 235FR Raider,1102,37,,Disponible,msi,4,rose,false
 40,PC HP S01-aF0042nf,1724,11,,Disponible,hp,5,blanc,false
 41,PC Portable HP Spectre x360,493,156,2021-06-22,Non Disponible,hp,5,rouge,false
 42,PC Portable Gaming Msi GF75,1468,198,,Disponible,msi,4,bleu,false
 43,PC Gamer Lenovo Legion T5 28IMB05,2958,134,,Disponible,lenovo,2,or,false
 44,PC Portable Acer Chromebook CB315-3H-C61K,1995,156,,Disponible,acer,1,orange,false
 45,PC Portable Asus 2S5DA-BQ3156T,2156,0,,Disponible,asus,1,orange,true
 46,Portable Toshiba Satellite C70-B-33J,1015,29,,Disponible,toshiba,3,noir,false
 47,PC Ultra Portable Lenovo Ideapad,565,161,,Disponible,lenovo,4,or,false
 48,PC Ultra Portable Asus S515DA-SHS,2489,143,,Disponible,asus,1,orange,false
 49,PC Portable Asus S515DA-LOKI,319,163,,Disponible,asus,2,rouge,false
 50,PC Dell Inspiron 3881,2395,0,,Disponible,dell,4,orange,true
 51,PC Portable HP 15-gw0015nf,1921,195,,Disponible,hp,5,rose,false
 52,PC Portable Gaming Lenovo Legion Pro,1208,167,,Disponible,lenovo,2,or,true
 53,Apple MacBook Air,512,137,,Disponible,apple,5,blanc,false
 54,PC Portable Dell Inspiron 5502,902,136,,Disponible,dell,1,or,true
 55,PC Portable Gaming Acer Nitro,1102,36,,Disponible,acer,4,orange,false
 56,Apple MacBook Pro Touch Bar,2135,0,2021-06-22,Non Disponible,apple,4,orange,true
 57,PC Portable Gaming Msi Katana GF76,2377,30,,Disponible,msi,5,blanc,true
 58,Apple MacBook Air,472,121,,Disponible,apple,3,blanc,true
 59,PC Ultra-Portable Lenovo IdeaPad XS,843,132,2021-09-17,Bientôt Disponible,lenovo,5,orange,false
 60,MacBook Pro,1572,128,,Disponible,apple,4,rose,false
 61,PC Portable Gaming Acer Nitro 5 AN515-55-71VA,1104,32,,Disponible,acer,5,blanc,false
 62,PC Ultra-Portable Acer CB314-1HT-C6UF,996,179,,Disponible,acer,2,blanc,true
 63,PC Portable Toshiba Satellite C55-C-125,933,189,,Disponible,toshiba,1,or,true
 64,PC Portable Asus S515DA-HHYU2,1899,9,,Disponible,asus,3,blanc,false
 65,Apple MacBook Pro Touch Bar,2059,118,,Disponible,apple,4,or,false
 66,PC Portable Gaming Acer Nitro 5 AN515-55-51QY,1892,124,,Disponible,acer,1,rouge,false
 67,PC Huawei AD80HW,835,99,,Disponible,huawei,5,bleu,false
 68,MSI GF63 10SCSR 1244FR,1952,3,,Disponible,msi,1,bleu,false
 69,PC Gaming Acer Predator Orio,543,8,,Disponible,acer,4,noir,false
 70,PC Ultra-Portable Acer Swift 5 SF514-55T-71NL,2194,3,,Disponible,acer,4,bleu,false
 71,PC Ultra-Portable Acer Swift 1 SF114-34-P2CV,2555,132,,Disponible,acer,1,rose,true
 72,MacBook Pro,2756,0,,Disponible,apple,2,rose,true
 73,PC Ultra-Portable HP EliteBook,1143,0,2021-11-02,Non Disponible,hp,4,orange,true
 74,PC Ultra Portable Asus S515DA-EK128T,904,50,,Disponible,asus,4,or,true
 75,Portable Toshiba Satellite C70-B-33J,462,174,,Disponible,toshiba,1,noir,true
 76,PC Portable MSI MODERN A11SB-008FR,1374,60,,Disponible,msi,1,or,false
 77,PC Portable Acer Aspire 5,907,85,,Disponible,acer,1,or,false
 78,PC HP Omen 25L Desktop GT11-0357nf,2236,109,,Disponible,hp,4,rouge,false
 79,PC Portable Asus S515DA-EK129T,1289,0,,Disponible,asus,2,or,false
 80,PC Portable Acer Aspire 3 A317-52-56PJ,2054,59,,Disponible,acer,5,or,true
 81,PC Portable Dell Inspiron 5502,2629,26,,Disponible,dell,5,noir,true
 82,Chromebook Acer CB315-3HT-C293,2247,0,,Disponible,acer,3,blanc,false
 83,PC Portable HP 15-dw1023nf,1119,16,,Disponible,hp,2,orange,false
 84,PC Portable Asus S5S4,2426,128,,Disponible,asus,1,noir,true
 85,PC Gaming Dell SE2417HGX,2366,139,,Disponible,dell,5,or,false
 86,PC Portable HP 250 G7 1F3P3EA .,1767,189,,Disponible,hp,1,orange,false
 87,PC Ultra-Portable Lenovo V14-IIL,1698,0,2021-09-05,Non Disponible,lenovo,5,noir,true
 88,PC Portable Toshiba Satellite C55-C-125,2690,63,,Disponible,toshiba,1,rouge,false
 89,PC Portable Acer Aspire 5 A515-44-R612,1309,46,,Disponible,acer,4,noir,false 
 90,PC Ultra Portable Asus S515DA-WFPK,1947,161,,Disponible,asus,5,bleu,true
 91,PC Portable Asus S515DA-BQ313T,2730,140,,Disponible,asus,1,noir,false
 92,PC Portable Gaming Msi GF63,2228,39,,Disponible,msi,5,blanc,true 
 93,MSI GS65 9SD 1678FR Stealth,738,0,2021-08-27,Non Disponible,msi,5,rose,true
 94,PC Portable Asus E410-BQ313T,2872,137,2021-11-11,Bientôt Disponible,asus,2,rose,false
 95,PC Portable Huawei X-13,1514,54,,Disponible,huawei,4,or,true
 96,PC Ultra Portable Asus STRIX-BQ313T,1313,21,,Disponible,asus,4,rouge,true
 97,PC Portable Asus S515DA-FLOWH67,1664,58,,Disponible,asus,2,noir,false
 98,PC Portable Gaming Asus ROG ZEPHYRUS-S17-GX735LWS-74T,1482,197,,Disponible,asus,5,blanc,true
 99,PC Ultra-Portable Acer Aspire 5 A514-53,1790,67,,Disponible,acer,1,orange,true
 100,PC Gaming MSI Optix G24C4,2496,198,,Disponible,msi,2,blanc,true
 101,Casque Bluetooth à réduction de bruit Sony WH-1000XM3,112,82,,Disponible,sony,0.65,argent,false
 102,Casque Bluetooth Marshall Major III,22,78,,Disponible,marshall,0.7,rouge,false
 103,Casque Bluetooth à réduction de bruit Sony WH-CH710N,86,48,,Disponible,sony,0.7,argent,false
 104,Casque sans fil JBL Tune 750BTNC,52,70,,Disponible,jbl,0.15,noir,true
 105,Casque Gaming Razer Kraken X,310,78,,Disponible,razer,0.12,blanc,true
 106,Casque Bluetooth à réduction de bruit Sony WH-1000XM3,244,7,,Disponible,sony,0.7,blanc,true 
 107,Casque Gaming Razer Kraken IX,348,17,2021-06-29,Non Disponible,razer,0.7,blanc,true
 108,Casque gaming Razer Blackshark V2,313,5,,Disponible,razer,0.12,rouge,true
 109,Casque audio Marshall MID Bluetooth,90,28,,Disponible,marshall,0.49,blanc,true
 110,Micro-casque gaming Razer Nari,267,47,,Disponible,razer,0.29,vert,false
 111,Casque Sennheiser HD 400S,141,8,,Disponible,sennheiser,0.5,rouge,false 
 112,Casque audio Marshall Major II,344,88,,Disponible,marshall,0.15,vert,false
 113,Casque audio Marshall Major IV,88,19,,Disponible,marshall,0.29,rouge,true 
 114,Casque circum-aural sans fil JBL Tune 700BT,195,0,,Disponible,jbl,0.49,noir,true
 115,Micro-casque gaming Razer Kraken Tournament,160,40,,Disponible,razer,0.12,argent,true
 116,Casque Sony MDR ZX310,334,74,,Disponible,sony,0.65,vert,false
 117,Casque audio Marshall Major IV,118,68,,Disponible,marshall,0.49,argent,false
 118,Casque Bluetooth Marshall Major IV,309,38,2021-07-22,Non Disponible,marshall,0.5,noir,false
 119,Micro-casque gaming Razer Nari Essential,72,58,,Disponible,razer,0.5,vert,false 
 120,Casque arceau JBL Tune,107,0,,Disponible,jbl,0.5,bleu,true
 121,Casque audio Hi Fi Sennheiser,323,50,,Disponible,sennheiser,0.35,vert,true
 122,Casque sans fil Sony WH-CH510 Noir,145,6,,Disponible,sony,0.29,noir,true
 123,Casque Bluetooth à réduction de bruit active Sony WH-XB900N,259,16,,Disponible,sony,0.12,rouge,false
 124,Casque sans fil Bluetooth Sennheiser Momentum,225,73,,Disponible,sennheiser,0.5,blanc,false
 125,Casque audio Hi Fi Sennheiser,184,15,,Disponible,sennheiser,0.49,blanc,false
 126,Casque Sennheiser HD 500,270,1,,Disponible,sennheiser,0.35,blanc,true
 127,Casque Bluetooth Marshall Monitor II,186,69,2021-12-01,Bientôt Disponible,marshall,0.7,rouge,false
 128,Casque sans fil Bluetooth Sennheiser Momentum,145,0,,Disponible,sennheiser,0.65,vert,true
 129,Micro-casque gaming Razer Kraken Tournament,343,73,,Disponible,razer,0.49,argent,false
 130,Casque Sennheiser HD 300,303,39,,Disponible,sennheiser,0.35,noir,false 
 131,Casque circum-aural sans fil JBL,181,84,2021-11-22,Non Disponible,jbl,0.49,bleu,false
 132,Casque supra-auriculaire sans fil JBL Tune,69,34,,Disponible,jbl,0.65,bleu,true
 133,Micro-casque gaming Razer Nari Essential,213,0,,Disponible,razer,0.35,argent,false
 134,Micro-casque gaming Razer Nari Essential,109,9,,Disponible,razer,0.5,noir,false 
 135,Micro-casque gaming Razer Nari Essential,96,73,,Disponible,razer,0.49,rouge,true
 136,Casque Marshall Monitor,117,60,,Disponible,marshall,0.5,vert,false
 137,Casque Bluetooth Marshall Monitor II,160,24,,Disponible,marshall,0.29,bleu,false 
 138,Casque arceau sans fil Sennheiser,211,61,,Disponible,sennheiser,0.49,blanc,false
 139,Casque audio Sony Extra Bass Téléphonie MDRXB550AP,322,40,,Disponible,sony,0.5,argent,true
 140,Casque audio Marshall Major V,173,46,,Disponible,marshall,0.65,vert,true
 141,Casque TV sans fil UHF Sennheiser,106,5,,Disponible,sennheiser,0.65,blanc,true
 142,Casque sans fil Sony WH-CH510,221,35,,Disponible,sony,0.29,vert,true
 143,Casque Sony WH-CH510 argent,230,42,,Disponible,sony,0.15,argent,false 
 144,Casque Gaming PS4 Razer Kraken X,122,0,2021-11-25,Non Disponible,razer,0.65,noir,false
 145,Casque audio Sennheiser HD 250BT,31,5,,Disponible,sennheiser,0.12,rouge,true
 146,Casque arceau sans fil Sennheiser,316,61,,Disponible,sennheiser,0.7,bleu,true 
 147,Casque Marshall Monitor,309,0,,Disponible,marshall,0.35,blanc,false
 148,Casque Sony WH-BB8 argent,174,81,,Disponible,sony,0.35,argent,false
 149,Micro-casque Gaming Razer Kraken Tournament,190,49,,Disponible,razer,0.7,vert,true
 150,Casque TV sans fil UHF Sennheiser,170,64,,Disponible,sennheiser,0.65,vert,true
 151,Casque Gaming PS4 Razer Kraken XI,320,76,,Disponible,razer,0.7,noir,false
 152,Casque Gaming PS4 Razer Kraken X,204,56,,Disponible,razer,0.49,blanc,false
 153,Micro-casque Gaming Razer Kraken Tournament,91,11,,Disponible,razer,0.12,noir,true
 154,Casque TV sans fil UHF Sennheiser,35,44,,Disponible,sennheiser,0.35,bleu,false
 155,Casque audio Sennheiser HD 250BT,161,83,2021-06-04,Bientôt Disponible,sennheiser,0.35,bleu,true
 156,Micro-casque JBL Live 500BT,245,52,,Disponible,jbl,0.49,argent,true
 157,Casque à réduction de bruit JBL Live Monitor,294,22,,Disponible,jbl,0.7,argent,true
 158,Casque Sony XPX vert,189,0,,Disponible,sony,0.5,vert,false
 159,Casque arceau filaire Sennheiser HD 560S,256,5,,Disponible,sennheiser,0.29,rouge,true
 160,Casque audio Marshall Major I,232,5,2021-12-02,Non Disponible,marshall,0.5,noir,false
 161,Casque TV sans fil UHF Sennheiser,129,0,,Disponible,sennheiser,0.35,bleu,true
 162,Casque Gaming sans fil Razer BlackShark V2,309,56,,Disponible,razer,0.65,argent,true
 163,Casque audio Marshall Major II,224,58,,Disponible,marshall,0.65,noir,true
 164,Casque audio Sennheiser HD 250BT,163,0,2021-09-11,Non Disponible,sennheiser,0.15,vert,true
 165,Casque audio Marshall Major III,285,49,,Disponible,marshall,0.35,argent,true
 166,Casque audio Marshall Major I,201,77,,Disponible,marshall,0.12,rouge,true
 167,Casque audio Marshall Monitor I,41,40,,Disponible,marshall,0.35,blanc,true
 168,Casque Bluetooth Marshall Monitor II,218,0,,Disponible,marshall,0.15,bleu,false
 169,Casque Gaming sans fil JBL Quantum 100,301,74,,Disponible,jbl,0.29,rouge,true
 170,Casque Bluetooth à réduction de bruit Sony WH-FFX,70,53,,Disponible,sony,0.49,blanc,true
 171,Casque Gaming sans fil Razer BlackShark V2,341,8,,Disponible,razer,0.35,rouge,false
 172,Casque Bluetooth Sony WH-W87H,127,0,,Disponible,sony,0.29,noir,true
 173,Casque Marshall Monitor,78,19,,Disponible,marshall,0.7,bleu,true
 174,Casque sans fil Bluetooth Sennheiser Momentum,122,52,,Disponible,sennheiser,0.12,rouge,false
 175,Casque Gaming sans fil JBL Quantum 600,183,81,,Disponible,jbl,0.49,bleu,true
 176,Casque sans fil Sony WH-CH510 bleu,142,53,,Disponible,sony,0.7,bleu,true
 177,Casque Marshall Monitor,122,9,,Disponible,marshall,0.7,blanc,true
 178,Casque Gaming sans fil JBL Quantum 200,77,0,,Disponible,jbl,0.49,argent,true
 179,Casque Sans fil Sony WH39X,96,51,,Disponible,sony,0.7,blanc,true
 180,Casque audio Marshall Major VII,201,85,2021-11-28,Non Disponible,marshall,0.15,blanc,true
 181,Casque à réduction de bruit JBL Tune,158,0,,Disponible,jbl,0.15,noir,false
 182,Micro-casque Gaming Razer Kraken Tournament,328,20,,Disponible,razer,0.7,blanc,true
 183,Casque Gaming sans fil Razer BlackShark V2,195,4,,Disponible,razer,0.5,noir,true
 184,Casque sans fil Bluetooth Sennheiser Momentum,22,20,,Disponible,sennheiser,0.12,noir,true
 185,Casque Bluetooth Marshall Monitor II,158,61,,Disponible,marshall,0.7,bleu,false
 186,Casque arceau filaire Sennheiser HD 560S,185,62,,Disponible,sennheiser,0.29,rouge,false
 187,Casque à réduction de bruit JBL Live 650BTNC,222,49,,Disponible,jbl,0.12,bleu,true
 188,Casque gaming Razer Blackshark FED,135,48,,Disponible,razer,0.15,bleu,false
 189,Casque arceau filaire Sennheiser HD 560S,92,68,,Disponible,sennheiser,0.35,argent,false
 190,Casque Gaming sans fil Razer BlackShark V2,203,4,,Disponible,razer,0.49,noir,true
 191,Casque gaming Razer Blackshark V3,42,0,,Disponible,razer,0.49,bleu,true
 192,Casque Marshall Major III vert,285,14,2021-07-10,Non Disponible,marshall,0.5,vert,false
 193,Casque Bluetooth Marshall Monitor II rouge,136,75,,Disponible,marshall,0.12,rouge,false
 194,Casque supra-auriculaire sans fil JBL Tune,107,69,2021-07-14,Bientôt Disponible,jbl,0.29,blanc,false
 195,Casque Bluetooth à réduction de bruit Sony WH-1023M3,133,0,,Disponible,sony,0.49,bleu,true
 196,Casque audio Sennheiser HD 250BT,95,22,,Disponible,sennheiser,0.35,rouge,false
 197,Casque Sony WH-FAMILY,153,0,,Disponible,sony,0.35,vert,false
 198,Casque Sony MDR ZX310 Rouge,183,52,,Disponible,sony,0.35,rouge,false
 199,Casque Gaming Razer Kraken V1,328,18,,Disponible,razer,0.15,vert,true 
 200,Casque Gaming Razer Kraken X,48,71,,Disponible,razer,0.15,bleu,true
 201,Enceinte Marshall Uxbridge,162,10,,Disponible,marshall,0.80,rouge,false
 202,Enceinte Sonos One,308,63,,Disponible,sonos,0.7,bleu,false
 203,Enceinte bluetooth Bose SoundLink Revolve II,194,9,,Disponible,jamo,1.5,rouge,true
 204,Enceinte sans fil Devialet Phantom II noir,210,24,,Disponible,devialet,0.80,noir,true
 205,Enceinte Sonos One V2,114,73,2021-08-08,Non Disponible,sonos,1.5,blanc,false
 206,Enceinte module Jamo Studio 8 A 8 ATM,311,54,,Disponible,jamo,1,noir,true
 207,Enceinte sans fil Devialet Phantom I bleu,208,60,,Disponible,devialet,1.1,bleu,false
 208,Enceinte Sonos One,60,38,,Disponible,sonos,0.65,rouge,true
 209,Enceinte bluetooth Bose SoundLink Revolve II,56,29,,Disponible,jamo,0.80,rouge,false
 210,Enceinte sans fil Devialet Phantom Blood,302,19,,Disponible,devialet,1.1,argent,true
 211,Enceinte Marshall Uxbridge,86,24,,Disponible,marshall,0.80,blanc,true
 212,Enceinte bibliothèque Jamo Studio 8 S801,332,81,,Disponible,jamo,1.6,noir,true
 213,Enceinte Portable Marshall Emberton,326,48,,Disponible,marshall,1,blanc,false 
 214,Enceinte module Jamo Studio 8 A 8 ATM,121,43,,Disponible,jamo,0.80,vert,false
 215,Enceinte Sonos One,91,16,,Disponible,sonos,0.9,vert,true
 216,Enceinte portable JBL Flip,317,41,,Disponible,jbl,1.5,blanc,true
 217,Enceinte portable JBL Flip V2,34,84,,Disponible,jbl,0.65,bleu,true
 218,Enceinte sans fil Devialet Phantom II,126,90,,Disponible,devialet,1.1,blanc,false
 219,Enceinte module Jamo Studio 8 A 8 ATM,112,50,,Disponible,jamo,0.9,blanc,true 
 220,Enceinte sans fil Devialet Phantom SP,344,72,2021-10-10,Non Disponible,devialet,0.65,rouge,true
 221,Enceinte sans fil Devialet Phantom I vert,68,53,,Disponible,devialet,0.9,vert,false
 222,Enceinte sans fil Devialet Phantom II,246,5,,Disponible,devialet,1.6,rouge,true 
 223,Enceinte sans fil Devialet Phantom II argent,69,69,,Disponible,devialet,0.9,argent,true
 224,Enceinte sans fil Devialet Phantom III,113,27,,Disponible,devialet,1.6,bleu,false
 225,Enceinte Marshall Uxbridge,287,34,,Disponible,marshall,1.5,noir,true
 226,Enceinte portable JBL Flip,155,50,2021-11-09,Non Disponible,jbl,0.65,bleu,true
 227,Enceinte Sonos One,342,46,,Disponible,sonos,0.7,blanc,false
 228,Enceinte sans fil Devialet Phantom II noir,82,13,2021-08-21,Bientôt Disponible,devialet,1.1,noir,false
 229,Enceinte Sonos One SAMY,166,8,,Disponible,sonos,0.9,noir,false
 230,Enceinte bibliothèque Jamo Studio 8 S801,336,8,,Disponible,jamo,1,blanc,true
 231,Enceinte Portable Marshall Emberton,63,3,,Disponible,marshall,1,rouge,false
 232,Enceinte sans fil Devialet Phantom SP,261,68,,Disponible,devialet,0.65,argent,false
 233,Enceinte portable JBL Flip V2,64,3,,Disponible,jbl,1.5,bleu,true
 234,Enceinte sans fil Devialet Phantom IIOM,298,24,,Disponible,devialet,0.9,noir,true
 235,Enceinte Sonos One SAMX,129,90,,Disponible,sonos,1.5,argent,true
 236,Enceinte Sonos One,34,1,,Disponible,sonos,1,argent,true
 237,Enceinte sans fil Devialet Phantom I,217,62,,Disponible,devialet,1,bleu,false
 238,Enceinte portable JBL Flip,327,52,2021-11-22,Non Disponible,jbl,0.65,bleu,true
 239,Enceinte bibliothèque Jamo Studio 8 S801,267,65,,Disponible,jamo,0.65,rouge,true
 240,Enceinte Sonos One,143,14,,Disponible,sonos,1.6,rouge,true
 241,Enceinte Sonos One SL,113,81,,Disponible,sonos,1.6,bleu,true
 242,Enceinte Bluetooth portable JBL Charge Essential,73,1,,Disponible,jbl,1.1,argent,true
 243,Enceinte sans fil Devialet Phantom II,178,31,,Disponible,devialet,1.5,bleu,true
 244,Enceinte sans fil Devialet Phantom III,265,18,,Disponible,devialet,0.65,noir,true
 245,Enceinte portable JBL Flip,244,45,,Disponible,jbl,0.65,bleu,true
 246,Enceinte Marshall Uxbridge,29,25,2021-08-25,Non Disponible,marshall,1,rouge,false
 247,Enceinte sans fil Devialet Phantom WOW3,143,58,,Disponible,devialet,0.9,rouge,false 
 248,Enceinte portable JBL Flip V2,349,53,,Disponible,jbl,1.5,blanc,true
 249,Enceinte Jamo Studio S,70,42,,Disponible,jamo,1.1,rouge,true
 250,Enceinte Bluetooth portable JBL Charge Essential,344,87,,Disponible,jbl,0.7,noir,true
